Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-07-05,49.4,54.34,48.395,48.6,6221194.0,0.0,1.0,49.103370808387,54.013707889226,48.104405471091,48.308174519992,6221194.0
2016-07-06,47.07,48.6,46.29,47.75,6706473.0,0.0,1.0,46.787361618437,48.308174519992,46.012045237252,47.463278463573,6706473.0
2016-07-07,47.62,48.0,47.345,47.74,5486829.0,0.0,1.0,47.334059066708,47.711777303696,47.060710342573,47.453338509968,5486829.0
2016-07-08,47.96,50.61,47.53,50.2,4243498.0,0.0,1.0,47.672017489276,50.306105194584,47.244599484264,49.898567096782,4243498.0
2016-07-11,49.21,51.23,48.98,51.12,6042339.0,0.0,1.0,48.914511689893,50.922382318091,48.68589275698,50.813042828436,6042339.0
2016-07-12,51.0,51.06,50.26,50.57,5552928.0,0.0,1.0,50.693763385177,50.753403106807,49.958206818412,50.266345380165,5552928.0
2016-07-13,50.57,51.1,49.83,50.62,4864712.0,0.0,1.0,50.266345380165,50.793162921226,49.530788813399,50.316045148189,4864712.0
2016-07-14,50.33,51.74,49.95,51.57,3481590.0,0.0,1.0,50.027786493646,51.429319951942,49.650068256659,51.260340740658,3481590.0
2016-07-15,51.78,51.91,50.61,51.23,3689804.0,0.0,1.0,51.469079766362,51.598299163226,50.306105194584,50.922382318091,3689804.0
2016-07-18,50.77,51.58,50.51,51.29,1557534.0,0.0,1.0,50.465144452263,51.270280694263,50.206705658535,50.98202203972,1557534.0
2016-07-19,51.04,51.56,50.44,51.55,1954621.0,0.0,1.0,50.733523199597,51.250400787053,50.137125983301,51.240460833449,1954621.0
2016-07-20,51.84,51.92,50.01,50.34,3351687.0,0.0,1.0,51.528719487992,51.608239116831,49.709707978288,50.037726447251,3351687.0
2016-07-21,50.4,50.62,49.99,50.24,3037115.0,0.0,1.0,50.097366168881,50.316045148189,49.689828071078,49.938326911202,3037115.0
2016-07-22,50.0,50.29,49.29,49.4,2450622.0,0.0,1.0,49.699768024683,49.988026679226,48.994031318733,49.103370808387,2450622.0
2016-07-25,49.22,49.45,47.86,48.98,3044828.0,0.0,1.0,48.924451643498,49.153070576412,47.572617953227,48.68589275698,3044828.0
2016-07-26,48.56,49.42,48.28,49.28,1571409.0,0.0,1.0,48.268414705572,49.123250715597,47.990096004634,48.984091365128,1571409.0
2016-07-27,49.08,49.5,48.715,48.92,1628596.0,0.0,1.0,48.785292293029,49.202770344436,48.422483986449,48.62625303535,1628596.0
2016-07-28,48.74,49.09,48.345,48.65,2923057.0,0.0,1.0,48.447333870461,48.795232246634,48.054705703066,48.357874288017,2923057.0
2016-07-29,48.46,48.8,48.01,48.21,4484073.0,0.0,1.0,48.169015169523,48.506973592091,47.721717257301,47.9205163294,4484073.0
2016-08-01,48.11,48.51,47.59,47.8,2980989.0,0.0,1.0,47.82111679335,48.218714937548,47.304239205894,47.512978231597,2980989.0
2016-08-02,47.5,48.02,47.18,47.5,3267301.0,0.0,1.0,47.214779623449,47.731657210906,46.896701108091,47.214779623449,3267301.0
2016-08-03,47.5,49.48,47.35,49.28,4709939.0,0.0,1.0,47.214779623449,49.182890437227,47.065680319375,48.984091365128,4709939.0
2016-08-04,49.59,50.11,49.48,50.03,3046799.0,0.0,1.0,49.292229926881,49.809107514338,49.182890437227,49.729587885498,3046799.0
2016-08-05,50.26,50.98,50.26,50.58,2665875.0,0.0,1.0,49.958206818412,50.673883477967,49.958206818412,50.27628533377,2665875.0
2016-08-08,50.63,50.87,49.94,50.05,2116463.0,0.0,1.0,50.325985101794,50.564543988313,49.640128303054,49.749467792708,2116463.0
2016-08-09,48.73,50.53,48.4205,50.46,1077911.0,0.0,1.0,48.437393916856,50.226585565745,48.129752352784,50.15700589051,1077911.0
2016-08-10,50.47,50.8,50.1,50.45,1182411.0,0.0,1.0,50.166945844115,50.494964313078,49.799167560733,50.147065936905,1182411.0
2016-08-11,50.73,52.71,50.7,52.55,1992681.0,0.0,1.0,50.425384637844,52.393495451621,50.395564777029,52.234456193942,1992681.0
2016-08-12,52.0,52.87,51.8,52.71,1287802.0,0.0,1.0,51.687758745671,52.5525347093,51.488959673572,52.393495451621,1287802.0
2016-08-15,52.95,53.77,52.86,53.66,1457937.0,0.0,1.0,52.63205433814,53.447130533744,52.542594755695,53.33779104409,1457937.0
2016-08-16,53.58,53.95,53.27,53.55,1002284.0,0.0,1.0,53.258271415251,53.626049698633,52.950132853498,53.228451554436,1002284.0
2016-08-17,53.67,53.73,53.34,53.41,1032288.0,0.0,1.0,53.347730997695,53.407370719325,53.019712528732,53.089292203967,1032288.0
2016-08-18,53.22,53.52,52.93,53.16,874672.0,0.0,1.0,52.900433085473,53.198631693621,52.61217443093,52.840793363843,874672.0
2016-08-19,52.95,52.95,51.71,51.92,1196193.0,0.0,1.0,52.63205433814,52.63205433814,51.399500091127,51.608239116831,1196193.0
2016-08-22,51.92,52.04,51.08,51.26,1081677.0,0.0,1.0,51.608239116831,51.72751856009,50.773283014016,50.952202178905,1081677.0
2016-08-23,51.36,52.1,51.14,51.9,2513773.0,0.0,1.0,51.051601714955,51.78715828172,50.832922735646,51.588359209621,2513773.0
2016-08-24,51.26,51.78,50.6041,51.37,692793.0,0.07,1.0,51.021632861259,51.539214778697,50.368782900399,51.131121343794,692793.0
2016-08-25,51.18,51.89,50.98,51.62,1384867.0,0.0,1.0,50.942004873961,51.648703261232,50.742934905716,51.379958804101,1384867.0
2016-08-26,51.64,52.34,51.53,51.87,937562.0,0.0,1.0,51.399865800925,52.096610689784,51.29037731839,51.628796264407,937562.0
2016-08-29,51.78,52.79,51.56,52.41,1044848.0,0.0,1.0,51.539214778697,52.544518118336,51.320237813627,52.16628517867,1044848.0
2016-08-30,52.19,53.47,52.19,52.61,952121.0,0.0,1.0,51.9473082136,53.221356010369,51.9473082136,52.365355146915,952121.0
2016-08-31,52.47,52.82,52.0,52.67,1653599.0,0.0,1.0,52.226006169143,52.574378613572,51.758191743767,52.425076137388,1653599.0
2016-09-01,52.96,53.11,52.14,52.63,959371.0,0.0,1.0,52.713727591344,52.863030067528,51.897540721538,52.385262143739,959371.0
2016-09-02,53.02,53.47,52.81,53.38,840803.0,0.0,1.0,52.773448581818,53.221356010369,52.56442511516,53.131774524659,840803.0
2016-09-06,53.5,53.55,52.29,52.73,1293788.0,0.0,1.0,53.251216505606,53.300983997668,52.046843197722,52.484797127862,1293788.0
2016-09-07,52.43,53.12,52.02,52.94,1743200.0,0.0,1.0,52.186192175494,52.87298356594,51.778098740591,52.693820594519,1743200.0
2016-09-08,52.68,52.96,52.27,52.33,1097798.0,0.0,1.0,52.435029635801,52.713727591344,52.026936200898,52.086657191371,1097798.0
2016-09-09,51.77,52.01,50.55,50.55,2170702.0,0.0,1.0,51.529261280285,51.768145242179,50.314934473989,50.314934473989,2170702.0
2016-09-12,50.02,51.44,49.86,51.21,1862444.0,0.0,1.0,49.787399058139,51.20079583268,49.628143083543,50.971865369198,1862444.0
2016-09-13,50.86,51.4,49.97,50.04,1607116.0,0.0,1.0,50.623492924769,51.160981839031,49.737631566077,49.807306054963,1607116.0
2016-09-14,50.05,50.5,49.64,50.02,1152272.0,0.0,1.0,49.817259553376,50.265166981927,49.409166118473,49.787399058139,1152272.0
2016-09-15,49.98,50.6,49.5,50.49,1417223.0,0.0,1.0,49.74758506449,50.36470196605,49.269817140701,50.255213483515,1417223.0
